onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone
315.601196	0.795844	city	1	1	0.802066	0.802066	0	1	0	0	CorrectCommission	0.769133	1.050777	0
316.397034	0.795806	city	6	1	0.704133	0.704133	0	1	0	0	CorrectCommission	0.345635	1.025650	0
317.192841	0.795834	city	10	1	0.572525	0.572525	0	1	0	0	CorrectCommission	0.223488	1.012406	0
317.988800	0.796090	city	7	1	0.468171	0.468171	0	1	0	0	CorrectCommission	0.674749	1.012149	0
318.784607	0.795511	city	10	1	0.470438	0.470438	0	1	0	0	CorrectCommission	0.664949	1.024993	0
319.580414	0.796065	city	1	1	0.400477	0.400477	0	1	0	0	CorrectCommission	0.967484	1.050146	0
320.376190	0.795525	city	6	1	0.399687	0.399687	0	1	0	0	CorrectCommission	0.970902	1.086112	0
321.171844	0.795784	city	7	1	0.318760	0.318760	0	1	0	0	CorrectCommission	1.320859	1.130897	0
321.967621	0.795785	city	5	1	1.065200	1.065200	0	1	0	0	CorrectCommission	1.907020	1.182259	0
322.763458	0.795865	mountain	1	0	0.000000	0.865510	1	0	0	0	CorrectOmission	1.043486	1.237891	0
323.559418	0.796076	city	9	1	0.400331	0.400331	0	1	0	0	CorrectCommission	0.968118	1.295641	0
324.355194	0.795432	city	6	1	0.350305	0.350305	0	1	0	0	CorrectCommission	1.184448	1.353517	0
325.150818	0.795863	city	7	1	0.317464	0.317464	0	1	0	0	CorrectCommission	1.326463	1.409740	0
325.946808	0.796100	city	5	1	1.048711	1.048711	0	1	0	0	CorrectCommission	1.835715	1.462686	0
326.742584	0.795443	city	1	1	1.052284	1.052284	0	1	0	0	CorrectCommission	1.851164	1.510823	0
327.538208	0.795801	city	6	1	0.961820	0.961820	0	1	0	0	CorrectCommission	1.459968	1.552648	0
328.334045	0.795879	city	7	1	0.998683	0.998683	0	1	0	0	CorrectCommission	1.619376	1.586631	0
329.129852	0.795741	city	3	1	1.001284	1.001284	0	1	0	0	CorrectCommission	1.630623	1.611173	0
329.925659	0.795876	city	6	1	1.047820	1.047820	0	1	0	0	CorrectCommission	1.831863	1.624678	0
330.721619	0.796053	city	7	1	1.051020	1.051020	0	1	0	0	CorrectCommission	1.845701	1.625611	0
